module,type,name,res_id,src,value,comments
saas_portal,model,"ir.ui.view,arch_db",saas_portal.view_saas_portal__config_settings,Notifications,Notificações,
saas_portal,model,"ir.model.fields,help",saas_portal.field_saas_portal_config_settings_expiration_notify_in_advance,Notify partners when less then defined number of days left befor expiration,Notificar parceiros quando o número definido de dias restantes para a expiração é inferior,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_create_client_notify_user,Notify user,Notificar usuário,
saas_portal,model,"ir.model.fields,help",saas_portal.field_saas_portal_create_client_notify_user,Notify user by email when database will have been created,Notificar usuário por email quando o banco de dados for criado,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_client_oauth_application_id,OAuth Application,OAuth Application,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_database_oauth_application_id,OAuth Application,OAuth Application,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_server_oauth_application_id,OAuth Application,OAuth Application,
saas_portal,model,"ir.actions.act_window,name",saas_portal.oauth_applications,OAuth Applications,OAuth Applications,
saas_portal,model,"ir.ui.menu,name",saas_portal.menu_oauth_applications,OAuth Applications,OAuth Applications,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.view_plans_form,Odoo DB Settings,Odoo DB Settings,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_server_odoo_version,Odoo version,Versão Odoo,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_plan_on_create_email_template,On create email template,Ao criar template de email,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.view_server_form,Open Server,Abrir Servidor,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_config_settings_page_for_maximumdb,Page for maximumdb,Página para maximumdb,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_config_settings_page_for_maximumtrialdb,Page for maximumtrialdb,Página para maximumtrialdb,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_config_settings_page_for_nonfree_subdomains,Page for nonfree subdomains,Página para subdomínios não gratuitos,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_config_param_ids,Parameters,Parâmetros,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.action_database_form,Parameters,Parâmetros,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_client_partner_id,Partner,Parceiro,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_create_client_partner_id,Partner,Parceiro,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_duplicate_client_partner_id,Partner,Parceiro,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_client_password,Password,Senha,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_database_password,Password,Senha,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_server_password,Password,Senha,
saas_portal,selection,"saas_portal.client,state",0,Pending,Pendente,
saas_portal,selection,"saas_portal.database,state",0,Pending,Pendente,
saas_portal,selection,"saas_portal.plan,lang",0,Persian / فارس,Persian / فارس,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_client_plan_id,Plan,Plano,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_create_client_plan_id,Plan,Plano,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_plan_name,Plan,Plano,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.view_saas_portal_client_filter,Plan,Plano,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.view_plans_form,Plan Settings,Configuraçõs do Plano,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.try_trial,Plan:,Plano:,
saas_portal,model,"ir.actions.act_window,name",saas_portal.action_plans,Plans,Planos,
saas_portal,model,"ir.ui.menu,name",saas_portal.menu_plans,Plans,Planos,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.view_databases_tree,Plans,Planos,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.view_plans_tree,Plans,Planos,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.subscription_wizard_view_form,Please Enter new expiration date or cancel,Digite uma nova data de validade ou cancele,
saas_portal,selection,"saas_portal.plan,lang",0,Polish / Język polski,Polish / Język polski,
saas_portal,selection,"saas_portal.plan,lang",0,Portuguese (BR) / Português (BR),Portuguese (BR) / Português (BR),
saas_portal,selection,"saas_portal.plan,lang",0,Portuguese / Português,Portuguese / Português,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_subscription_log_expiration,Previous expiration,Vencimento anterior,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_client_public_url,Public url,URL Público,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_database_public_url,Public url,URL Público,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_subscription_log_reason,Reason,Motivo,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_subscription_wizard_reason,Reason of new expiration,Razão da nova expiração,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.subscription_wizard_view_form,Received Vehicle,Received Vehicle,
saas_portal,model,"ir.model.fields,help",saas_portal.field_saas_portal_config_settings_page_for_maximumdb,Redirection url for maximum non-trial databases limit exception,URL de redirecionamento para o máximo de bancos de dados não trial que atingem o limite,
saas_portal,model,"ir.model.fields,help",saas_portal.field_saas_portal_config_settings_page_for_maximumtrialdb,Redirection url for maximum trial databases limit exception,URL de redirecionamento para o máximo de bancos de dados trial que atingem o limite,
saas_portal,model,"ir.model.fields,help",saas_portal.field_saas_portal_config_settings_page_for_nonfree_subdomains,Redirection url from /page/start when subdomains is not free and not paid,URL de redirecionamento de /page/start quando o subdomínio não é gratuito e não está pago,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.saas_portal_rename_database_view_form,Rename,Renomear,
saas_portal,model,"ir.actions.act_window,name",saas_portal.action_rename_database,Rename Database,Renomear banco de dados,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.view_clients_form,Rename Database,Renomear banco de dados,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_server_request_port,Request Port,Request Port,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_config_access_remove,Restrict access,Restrict access,
saas_portal,model,"ir.model.fields,help",saas_portal.field_saas_config_access_remove,"Restrict access for all users except super-user.
Note, that ","Restrict access for all users except super-user.
Note, that ",
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_config_description,Result,Resultado,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.action_database_form,Result,Resultado,
saas_portal,selection,"saas_portal.plan,lang",0,Romanian / română,Romanian / română,
saas_portal,selection,"saas_portal.plan,lang",0,Russian / русский язык,Russian / русский язык,
saas_portal,model,"ir.ui.menu,name",saas_portal.menu_base_saas,SaaS,SaaS,
saas_portal,model,"ir.ui.menu,name",saas_portal.menu_saas,SaaS,SaaS,
saas_portal,model,"ir.actions.act_window,name",saas_portal.action_saas_portal_configuration,SaaS Portal Settings,Configurações SaaS Portal,
saas_portal,model,"ir.ui.menu,name",saas_portal.menu_saas_portal_configuration,SaaS Portal Settings,Configurações SaaS Portal,
saas_portal,model,"ir.model,name",saas_portal.model_saas_portal_server,SaaS Server,Servidor SaaS,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_plan_server_id,SaaS Server,Servidor SaaS,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_config_settings_module_saas_portal_sale_online,Sale SaaS from website shop,Vender SaaS apartir da shop no website,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_client_user_id,Salesperson,Vendedor,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_server_local_request_scheme,Scheme,Scheme,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_server_request_scheme,Scheme,Scheme,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.view_saas_portal_client_filter,Search Client,Procurar Cliente,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.view_databases_filter,Search Databases,Procurar Banco de Dados,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.batch_delete_wizard_view_form,Selected databases will be deleted from the server,Os bancos de dados selecionados serão excluídos do servidor,
saas_portal,model,"ir.actions.server,name",saas_portal.send_saas_expiration_info_action,Send SaaS expiration info,Enviar info da expiração SaaS,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_plan_sequence,Sequence,Sequência,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_server_sequence,Sequence,Sequência,
saas_portal,selection,"saas_portal.plan,lang",0,Serbian (Cyrillic) / српски,Serbian (Cyrillic) / српски,
saas_portal,selection,"saas_portal.plan,lang",0,Serbian (Latin) / srpski,Serbian (Latin) / srpski,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_client_server_id,Server,Servidor,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_database_server_id,Server,Servidor,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.view_server_form,Server,Servidor,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.view_server_tree,Server,Servidor,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_oauth_application_server_db_ids,Server Database,Base de Dados do Servidor,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_client_server_db_ids,Server Database,Base de Dados do Servidor,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_database_server_db_ids,Server Database,Base de Dados do Servidor,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_server_server_db_ids,Server Database,Base de Dados do Servidor,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.oauth_application_form,Server Database,Base de Dados do Servidor,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.view_server_form,Server-side requests,Server-side requests,
saas_portal,model,"ir.actions.act_window,name",saas_portal.action_server,Servers,Servidores,
saas_portal,model,"ir.ui.menu,name",saas_portal.menu_server,Servers,Servidores,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.view_clients_form,Settings,Configurações,
saas_portal,selection,"saas_portal.plan,lang",0,Slovak / Slovenský jazyk,Slovak / Slovenský jazyk,
saas_portal,selection,"saas_portal.plan,lang",0,Slovenian / slovenščina,Slovenian / slovenščina,
saas_portal,selection,"saas_portal.plan,lang",0,Spanish (AR) / Español (AR),Spanish (AR) / Español (AR),
saas_portal,selection,"saas_portal.plan,lang",0,Spanish (BO) / Español (BO),Spanish (BO) / Español (BO),
saas_portal,selection,"saas_portal.plan,lang",0,Spanish (CL) / Español (CL),Spanish (CL) / Español (CL),
saas_portal,selection,"saas_portal.plan,lang",0,Spanish (CO) / Español (CO),Spanish (CO) / Español (CO),
saas_portal,selection,"saas_portal.plan,lang",0,Spanish (CR) / Español (CR),Spanish (CR) / Español (CR),
saas_portal,selection,"saas_portal.plan,lang",0,Spanish (DO) / Español (DO),Spanish (DO) / Español (DO),
saas_portal,selection,"saas_portal.plan,lang",0,Spanish (EC) / Español (EC),Spanish (EC) / Español (EC),
saas_portal,selection,"saas_portal.plan,lang",0,Spanish (GT) / Español (GT),Spanish (GT) / Español (GT),
